+----------------------------------------------------------+
| QUEUE Pracovníci                                        |
+----------------------------------------------------------+
|  Time interval = 0 - 525600                              |
|  Incoming  52550                                         |
|  Outcoming  52550                                        |
|  Current length = 0                                      |
|  Maximal length = 2                                      |
|  Average length = 0.534928                               |
|  Minimal time = 0                                        |
|  Maximal time = 193.627                                  |
|  Average time = 5.3503                                   |
|  Standard deviation = 25.9641                            |
+----------------------------------------------------------+
+----------------------------------------------------------+
| HISTOGRAM Počet zasazených semínek v jednotlivých dnech |
+----------------------------------------------------------+
| STATISTIC                                                |
+----------------------------------------------------------+
|  Min = 10.246                  Max = 334180              |
|  Number of records = 99990                               |
|  Average value = 184772                                  |
|  Standard deviation = 97200.3                            |
+----------------------------------------------------------+
|    from    |     to     |     n    |   rel    |   sum    |
| 116640.000 | 118080.000 |     1470 | 0.014701 | 0.282928 |
| 118080.000 | 119520.000 |     1230 | 0.012301 | 0.295230 |
| 119520.000 | 120960.000 |      420 | 0.004200 | 0.299430 |
| 120960.000 | 122400.000 |        0 | 0.000000 | 0.299430 |
| 122400.000 | 123840.000 |        0 | 0.000000 | 0.299430 |
| 123840.000 | 125280.000 |      240 | 0.002400 | 0.301830 |
| 125280.000 | 126720.000 |      840 | 0.008401 | 0.310231 |
| 126720.000 | 128160.000 |        0 | 0.000000 | 0.310231 |
| 128160.000 | 129600.000 |        0 | 0.000000 | 0.310231 |
| 129600.000 | 131040.000 |        0 | 0.000000 | 0.310231 |
| 131040.000 | 132480.000 |        0 | 0.000000 | 0.310231 |
| 132480.000 | 133920.000 |        0 | 0.000000 | 0.310231 |
| 133920.000 | 135360.000 |        0 | 0.000000 | 0.310231 |
| 135360.000 | 136800.000 |        0 | 0.000000 | 0.310231 |
| 136800.000 | 138240.000 |        0 | 0.000000 | 0.310231 |
| 138240.000 | 139680.000 |        0 | 0.000000 | 0.310231 |
| 139680.000 | 141120.000 |      420 | 0.004200 | 0.314431 |
| 141120.000 | 142560.000 |     1380 | 0.013801 | 0.328233 |
| 142560.000 | 144000.000 |     1950 | 0.019502 | 0.347735 |
| 144000.000 | 145440.000 |        0 | 0.000000 | 0.347735 |
| 145440.000 | 146880.000 |        0 | 0.000000 | 0.347735 |
| 146880.000 | 148320.000 |        0 | 0.000000 | 0.347735 |
| 148320.000 | 149760.000 |      180 | 0.001800 | 0.349535 |
| 149760.000 | 151200.000 |     1170 | 0.011701 | 0.361236 |
| 151200.000 | 152640.000 |     1650 | 0.016502 | 0.377738 |
| 152640.000 | 154080.000 |      750 | 0.007501 | 0.385239 |
| 154080.000 | 155520.000 |        0 | 0.000000 | 0.385239 |
| 155520.000 | 156960.000 |        0 | 0.000000 | 0.385239 |
| 156960.000 | 158400.000 |       60 | 0.000600 | 0.385839 |
| 158400.000 | 159840.000 |      810 | 0.008101 | 0.393939 |
